NroNotaCredito;TipoNotaCredito;ItemNotaCredito;IDCodProd;Cantidad;PrecioUnitario;PorcentajeDescuento;TotalLinea;UnidadMedida;ImporteDescuento
236;A;1;65;1;5165.28;0;5165.28;C/U;0.0
237;A;1;180;3;7687.12;0;23061.36;C/U;0.0
238;A;1;DEV;1;951312.0;0;951312.0;C/U;0.0
239;A;1;75;12;6198.34;20;59504.06;C/U;14876.02
239;A;2;65;10;5165.28;20;41322.24;C/U;10330.56
239;A;3;45FKA;3;5165.28;20;12396.67;C/U;3099.17
240;A;1;RES;7;1404.95;0;9834.65;;0.0
241;A;1;DEV;1;826570.0;0;826570.0;C/U;0.0
242;A;1;65;1;4456.61;0;4456.61;C/U;0.0
242;A;2;75;1;5346.07;0;5346.07;C/U;0.0
243;A;1;RES;10;1615.69;0;16156.9;C/U;0.0
244;A;1;PLOMO;140;16598.0;0;2323720.0;KG;0.0
245;A;1;100SP;1;11198.34;20;8958.67;C/U;2239.67
246;A;1;65;13;5942.14;35;50211.08;C/U;27036.74
246;A;2;75;10;7128.09;35;46332.59;C/U;24948.32
246;A;3;45FKA;1;5942.14;35;3862.39;C/U;2079.75
247;A;1;1004X4;2;11024.79;30;15434.71;C/U;6614.87
248;A;1;75;1;3859.5;0;3859.5;C/U;0.0
249;A;1;180;2;14884.29;0;29768.58;C/U;0.0
250;A;1;180;4;10045.53;0;40182.12;C/U;0.0
251;A;1;180;6;13687.41;0;82124.46;C/U;0.0
252;A;1;180;6;13687.41;0;82124.46;C/U;0.0
253;A;1;RES;8;1735.53;0;13884.24;C/U;0.0
254;A;1;110C;2;12429.75;25;18644.63;C/U;6214.88
254;A;2;65;1;6595.04;25;4946.28;C/U;1648.76
255;A;1;RES;5;1239.61;0;6198.05;C/U;0.0
256;A;1;RES;5;1735.53;0;8677.65;C/U;0.0
257;A;1;1004X4;2;12231.4;20;19570.24;C/U;4892.56
258;A;1;DEV;1;1770000.0;0;1770000.0;C/U;0.0
259;A;1;80T;1;9256.19;25;6942.14;C/U;2314.05
260;A;1;75;10;7913.22;30;55392.54;C/U;23739.66
261;A;1;180;4;18355.37;0;73421.48;C/U;0.0
262;A;1;RES;26437;78.0;0;2062086.0;C/U;0.0
263;A;1;N24;1;6384.0;0;6384.0;C/U;0.0
264;A;1;65;1;6595.04;25;4946.28;C/U;1648.76
265;A;1;180;4;16520.66;0;66082.64;C/U;0.0
266;A;1;RES;1;5238000.0;0;5238000.0;C/U;0.0
267;A;1;180;1;29368.59;0;29368.59;C/U;0.0
268;A;1;75;1;7913.22;20;6330.58;C/U;1582.64
269;A;1;RES;30069;80.0;0;2405520.0;C/U;0.0
270;A;1;RES;30069;80.0;0;2405520.0;C/U;0.0
271;A;1;65;1;6595.04;20;5276.03;C/U;1319.01
