IdSucursal;NroRemito;FechaRemito;CodCliente;UnidadNegocio;CodVendedor;NroFactura;TipoFactura;Item;AclaracionRemito
5;18574;2018-01-26 00:00:00;472;;100;2105;A;1;
5;18575;2018-01-26 00:00:00;2197;;600;2108;A;1;
5;18576;2018-01-30 00:00:00;345;;200;2115;A;1;
5;18578;2018-02-01 00:00:00;1103;;500;2120;A;1;
5;18579;2018-02-01 00:00:00;378;;100;2123;A;1;
5;18580;2018-02-01 00:00:00;544;;300;2124;A;1;
5;18582;2018-02-05 00:00:00;2193;;600;2125;A;1;
5;18583;2018-02-06 00:00:00;24;;500;2126;A;1;
5;18584;2018-02-08 00:00:00;2078;;300;2132;A;1;
5;18585;2018-02-08 00:00:00;406;;100;2133;A;1;
5;18586;2018-02-08 00:00:00;345;;200;2134;A;1;
5;18590;2018-02-14 00:00:00;1051;;700;2140;A;1;
5;18591;2018-02-15 00:00:00;472;;100;2141;A;1;
5;18592;2018-02-15 00:00:00;345;;200;2142;A;1;
5;18593;2018-02-15 00:00:00;635;;700;2143;A;1;
5;18594;2018-02-22 00:00:00;632;;100;2157;A;1;
5;18595;2018-02-22 00:00:00;472;;100;2159;A;1;
5;18596;2018-02-22 00:00:00;2125;;600;0;;0;
5;18597;2018-02-26 00:00:00;2154;;400;2161;A;1;
5;18598;2018-02-27 00:00:00;881;;700;2166;A;1;
5;18599;2018-02-27 00:00:00;345;;200;2167;A;1;
5;18600;2018-02-27 00:00:00;472;;100;2168;A;1;
5;18659;2018-01-30 00:00:00;918;;400;2117;A;1;
5;18679;2018-02-08 00:00:00;1045;;400;2137;A;1;
5;18680;2018-02-15 00:00:00;1045;;400;2144;A;1;
5;18681;2018-02-19 00:00:00;1210;;400;2151;A;1;
5;18682;2018-02-21 00:00:00;918;;400;2155;A;1;
5;18683;2018-03-05 00:00:00;509;;100;2180;A;1;
5;18687;2018-03-15 00:00:00;1210;;400;2227;A;1;
5;18688;2018-03-19 00:00:00;1045;;400;2239;A;1;
5;18689;2018-03-20 00:00:00;1210;;400;2243;A;1;
5;18690;2018-03-26 00:00:00;1045;;400;2263;A;1;
5;18692;2018-04-16 00:00:00;1045;;400;2334;A;1;
5;18693;2018-04-12 00:00:00;918;;400;2326;A;1;
5;18694;2018-04-16 00:00:00;818;;400;2335;A;1;
5;18695;2018-04-16 00:00:00;1210;;400;2336;A;1;
5;18697;2018-04-20 00:00:00;818;;400;2361;A;1;
5;18698;2018-04-30 00:00:00;2149;;400;2398;A;1;
5;18700;2018-05-03 00:00:00;918;;400;2403;A;1;
5;18701;2018-02-27 00:00:00;78;;100;2169;A;1;
5;18702;2018-03-01 00:00:00;442;;500;2171;A;1;
5;18703;2018-03-01 00:00:00;305;;200;2172;A;1;
5;18704;2018-03-05 00:00:00;948;;200;2176;A;1;
5;18705;2018-03-05 00:00:00;2125;;600;2177;A;1;
5;18707;2018-03-06 00:00:00;2073;;400;2186;A;1;
5;18708;2018-03-06 00:00:00;2073;;400;2187;A;1;
5;18709;2018-03-06 00:00:00;681;;300;2188;A;1;
5;18710;2018-03-07 00:00:00;2078;;300;2193;A;1;
5;18711;2018-03-07 00:00:00;2010;;100;0;;0;
5;18713;2018-03-08 00:00:00;472;;100;2196;A;1;
5;18714;2018-03-08 00:00:00;544;;300;2197;A;1;
5;18715;2018-03-09 00:00:00;2020;;700;2198;A;1;
5;18716;2018-03-09 00:00:00;2020;;700;2199;A;1;
5;18717;2018-03-09 00:00:00;2020;;700;2200;A;1;
5;18718;2018-03-09 00:00:00;1210;;400;2202;A;1;
5;18719;2018-03-12 00:00:00;2178;;400;2205;A;1;
5;18720;2018-03-12 00:00:00;2154;;400;2206;A;1;
5;18721;2018-03-12 00:00:00;2197;;600;2209;A;1;
5;18722;2018-03-13 00:00:00;2197;;600;2210;A;1;
5;18723;2018-03-13 00:00:00;1210;;400;2211;A;1;
5;18724;2018-03-13 00:00:00;2078;;300;2212;A;1;
5;18725;2018-03-13 00:00:00;588;;300;2213;A;1;
5;18726;2018-03-13 00:00:00;472;;100;2214;A;1;
5;18727;2018-03-13 00:00:00;2193;;600;2216;A;1;
5;18728;2018-03-14 00:00:00;378;;100;2217;A;1;
5;18729;2018-03-14 00:00:00;696;;500;2218;A;1;
5;18730;2018-03-14 00:00:00;387;;500;2219;A;1;
5;18731;2018-03-15 00:00:00;632;;100;2224;A;1;
5;18732;2018-03-15 00:00:00;345;;200;2226;A;1;
5;18733;2018-03-15 00:00:00;2020;;700;0;;0;
5;18734;2018-03-15 00:00:00;2010;;100;0;;0;
5;18735;2018-03-16 00:00:00;1103;;500;2230;A;1;
5;18736;2018-03-16 00:00:00;545;;500;2231;A;1;
5;18737;2018-03-19 00:00:00;918;;400;2237;A;1;
5;18738;2018-03-20 00:00:00;345;;200;2246;A;1;
5;18739;2018-03-20 00:00:00;635;;700;2247;A;1;
5;18740;2018-03-21 00:00:00;2160;;500;2249;A;1;
5;18741;2018-03-21 00:00:00;2125;;600;2250;A;1;
5;18743;2018-03-22 00:00:00;2020;;700;0;;0;
5;18744;2018-03-23 00:00:00;472;;100;2253;A;1;
5;18745;2018-03-23 00:00:00;345;;200;2254;A;1;
5;18746;2018-03-23 00:00:00;2194;;200;2255;A;1;
5;18747;2018-03-26 00:00:00;539;;700;2258;A;1;
5;18748;2018-03-26 00:00:00;1240;;100;2259;A;1;
5;18749;2018-03-27 00:00:00;345;;200;2266;A;1;
