NroPresu;FechaPresu;TotalPresu;SubTotalPresu;CodCliente;PorcentajeDesc;ImporteDesc;FormaPago;UnidadNegocio;CodVendedor;Anulado
14325;2018-08-02 00:00:00;1935.0;1935.0;430;25.0;;;;200;
14331;2018-08-02 00:00:00;3870.0;3870.0;430;25.0;;;;200;
14332;2018-08-02 00:00:00;1616.25;1616.25;430;25.0;;;;200;
14338;2018-08-02 00:00:00;1935.0;1935.0;430;25.0;;;;200;
14341;2018-08-02 00:00:00;1616.25;1616.25;430;25.0;;;;200;
14359;2018-08-08 00:00:00;2272.0;2272.0;67;20.0;;;;300;
14380;2018-10-23 00:00:00;6697.5;6697.5;430;25.0;;;;200;
14389;2017-10-24 00:00:00;45165.22;45165.22;1370;0.0;;;;700;
14397;2018-10-23 00:00:00;4260.0;4260.0;430;25.0;;;;200;
14417;2018-10-23 00:00:00;7012.5;7012.5;430;25.0;;;;200;
14438;2019-02-11 00:00:00;2475.0;2475.0;430;25.0;;;;200;
14443;2019-02-11 00:00:00;2475.0;2475.0;430;25.0;;;;200;
14445;2017-04-28 00:00:00;4176.0;4176.0;819;20.0;;;;300;
14448;2019-02-11 00:00:00;2062.5;2062.5;430;25.0;;;;200;
14451;2019-02-11 00:00:00;2062.5;2062.5;430;25.0;;;;200;
14463;2019-02-11 00:00:00;2475.0;2475.0;430;25.0;;;;200;
14465;2019-02-11 00:00:00;2475.0;2475.0;430;25.0;;;;200;
14469;2019-02-11 00:00:00;2062.5;2062.5;430;25.0;;;;200;
14473;2019-02-11 00:00:00;4537.5;4537.5;430;25.0;;;;200;
14479;2019-02-11 00:00:00;4950.0;4950.0;430;25.0;;;;200;
14485;2019-02-11 00:00:00;2062.5;2062.5;430;25.0;;;;200;
14486;2019-02-11 00:00:00;2475.0;2475.0;430;25.0;;;;200;
14503;2019-02-11 00:00:00;2062.5;2062.5;430;25.0;;;;200;
14506;2019-02-11 00:00:00;2475.0;2475.0;430;25.0;;;;200;
14514;2019-02-11 00:00:00;2065.0;2065.0;430;25.0;;;;200;
14518;2019-04-05 00:00:00;17703.75;17703.75;430;25.0;;;;200;
14532;2019-04-05 00:00:00;7635.0;7635.0;430;25.0;;;;200;
14534;2019-04-05 00:00:00;2475.0;2475.0;430;25.0;;;;200;
14542;2019-04-05 00:00:00;2062.5;2062.5;430;25.0;;;;200;
14545;2019-04-05 00:00:00;5741.25;5741.25;430;25.0;;;;200;
14552;2019-04-05 00:00:00;4950.0;4950.0;430;25.0;;;;200;
14555;2019-05-17 00:00:00;2475.0;2475.0;430;25.0;;;;200;
14556;2019-05-17 00:00:00;2685.0;2685.0;430;25.0;;;;200;
14562;2019-05-17 00:00:00;8167.5;8167.5;430;25.0;;;;200;
14567;2019-05-17 00:00:00;5445.0;5445.0;430;25.0;;;;200;
14570;2019-05-17 00:00:00;9652.5;9652.5;430;25.0;;;;200;
14584;2019-05-17 00:00:00;4275.0;4275.0;430;25.0;;;;200;
14587;2019-05-17 00:00:00;8583.75;8583.75;430;25.0;;;;200;
14597;2019-05-17 00:00:00;2722.5;2722.5;430;25.0;;;;200;
14600;2019-05-17 00:00:00;2722.5;2722.5;430;25.0;;;;200;
14603;2019-05-17 00:00:00;2268.75;2268.75;206;25.0;;;;200;
14640;2019-06-24 00:00:00;2940.0;2940.0;430;25.0;;;;200;
14641;2019-06-24 00:00:00;2940.0;2940.0;430;25.0;;;;200;
14647;2019-06-24 00:00:00;2940.0;2940.0;430;25.0;;;;200;
14652;2019-07-11 00:00:00;2025.0;2025.0;430;25.0;;;;200;
14661;2019-07-19 00:00:00;2452.5;2452.5;206;25.0;;;;200;
14665;2019-07-11 00:00:00;2452.5;2452.5;430;25.0;;;;200;
14677;2019-07-19 00:00:00;2940.0;2940.0;430;25.0;;;;200;
14689;2019-07-19 00:00:00;2940.0;2940.0;430;25.0;;;;200;
14698;2019-10-04 00:00:00;3525.0;3525.0;430;25.0;;;;200;
14706;2019-10-04 00:00:00;3525.0;3525.0;430;25.0;;;;200;
14712;2019-10-04 00:00:00;5542.5;5542.5;430;25.0;;;;200;
14715;2019-10-04 00:00:00;12930.0;12930.0;430;25.0;;;;200;
14741;2019-10-04 00:00:00;3525.0;3525.0;430;25.0;;;;200;
14760;2019-12-06 00:00:00;12322.5;12322.5;430;25.0;;;;200;
14761;2019-12-06 00:00:00;16380.0;16380.0;430;25.0;;;;200;
14765;2019-12-06 00:00:00;3525.0;3525.0;430;25.0;;;;200;
14788;2019-12-06 00:00:00;10267.5;10267.5;430;25.0;;;;200;
14791;2019-12-06 00:00:00;4425.0;4425.0;430;25.0;;;;200;
14807;2019-12-06 00:00:00;4425.0;4425.0;430;25.0;;;;200;
15059;2021-02-24 00:00:00;8448.0;8448.0;537;20.0;;;;300;
15118;2016-04-06 00:00:00;1275.0;1275.0;793;20.0;;;;100;
15334;2018-06-15 00:00:00;4880.0;4880.0;2219;0.0;;;;500;
15722;2018-09-14 00:00:00;5203.0;5203.0;1210;0.0;;;;400;
16057;2016-08-03 00:00:00;5646.0;5646.0;917;0.0;;;;400;
16444;2019-04-15 00:00:00;8984.0;8984.0;826;20.0;;;;500;
16680;2019-11-05 00:00:00;56465.0;56465.0;1370;0.0;;;;700;
16848;2020-03-13 00:00:00;47552.72;47552.72;1370;0.0;;;;700;
16875;2017-04-11 00:00:00;20735.0;20735.0;34;35.0;;;;200;
16876;2017-04-11 00:00:00;8776.0;8776.0;566;20.0;;;;200;
16877;2017-04-11 00:00:00;4176.0;4176.0;162;20.0;;;;200;
16889;2017-05-09 00:00:00;19075.0;19075.0;300;30.0;;;;200;
16890;2017-05-09 00:00:00;1472.0;1472.0;108;20.0;;;;200;
16981;2020-04-27 00:00:00;4252.0;4252.0;2093;20.0;;;;300;
17109;2017-04-18 00:00:00;36300.0;36300.0;1040;0.0;;;;700;
17605;2017-12-04 00:00:00;4046.25;4046.25;2144;25.0;;;;500;
17777;2021-07-05 00:00:00;18184.0;18184.0;848;20.0;;;;300;
18041;2017-12-22 00:00:00;2233.0;2233.0;2120;0.0;;;;100;
18600;2022-09-26 00:00:00;16192.0;16192.0;971;20.0;;;;400;
18653;2018-01-29 00:00:00;1424.0;1424.0;290;20.0;;;;400;
18660;2018-01-30 00:00:00;5602.5;5602.5;94;25.0;;;;400;
18662;2018-01-30 00:00:00;1320.0;1320.0;80;20.0;;;;400;
18666;2018-01-30 00:00:00;2848.0;2848.0;246;20.0;;;;400;
18667;2018-01-30 00:00:00;1704.0;1704.0;404;20.0;;;;400;
18670;2018-01-31 00:00:00;6300.0;6300.0;1042;0.0;;;;400;
18671;2018-01-31 00:00:00;1335.0;1335.0;1218;25.0;;;;400;
18674;2018-02-01 00:00:00;1982.5;1982.5;769;35.0;;;;400;
18675;2018-02-01 00:00:00;3128.0;3128.0;971;20.0;;;;400;
18676;2018-02-01 00:00:00;1704.0;1704.0;705;20.0;;;;400;
18715;2022-11-18 00:00:00;132802.0;132802.0;1000;0.0;;;;600;
19100;2018-08-31 00:00:00;4385.0;4385.0;2247;0.0;;;;200;
19189;2023-10-02 00:00:00;260864.0;260864.0;485;20.0;;;;100;
19300;2023-12-12 00:00:00;41629.0;41629.0;605;0.0;;;;100;
19304;2018-07-25 00:00:00;5852.0;5852.0;246;20.0;;;;400;
19305;2018-07-25 00:00:00;2348.5;2348.5;743;30.0;;;;400;
19316;2018-08-10 00:00:00;4544.0;4544.0;342;20.0;;;;400;
19323;2018-08-10 00:00:00;5478.75;5478.75;94;25.0;;;;400;
19324;2018-08-10 00:00:00;10863.0;10863.0;935;0.0;;;;400;
19325;2018-08-10 00:00:00;1896.0;1896.0;790;20.0;;;;400;
19403;2018-10-09 00:00:00;12248.0;12248.0;2146;0.0;;;;100;
19437;2019-09-20 00:00:00;13256.0;13256.0;485;20.0;;;;100;
19441;2019-11-04 00:00:00;9615.0;9615.0;2334;0.0;;;;100;si
20008;2019-02-11 00:00:00;15609.0;15609.0;1103;0.0;;;;500;
20111;2024-11-04 00:00:00;81840.0;81840.0;857;20.0;;;;300;
20401;2019-07-15 00:00:00;8332.5;8332.5;710;25.0;;;;400;
20403;2019-07-15 00:00:00;29553.0;29553.0;935;0.0;;;;400;
20404;2019-07-15 00:00:00;5752.0;5752.0;790;20.0;;;;400;
20406;2019-07-16 00:00:00;11760.0;11760.0;94;25.0;;;;400;
20408;2019-07-16 00:00:00;61761.0;61761.0;981;30.0;;;;400;
20409;2019-07-18 00:00:00;2452.5;2452.5;94;25.0;;;;400;
20410;2019-07-18 00:00:00;26940.0;26940.0;1042;0.0;;;;400;
20412;2019-07-18 00:00:00;8888.0;8888.0;246;20.0;;;;400;
20413;2019-07-18 00:00:00;5752.0;5752.0;404;20.0;;;;400;
20414;2019-07-18 00:00:00;12252.5;12252.5;769;35.0;;;;400;
20415;2019-07-18 00:00:00;8888.0;8888.0;830;20.0;;;;400;
20417;2019-07-18 00:00:00;2616.0;2616.0;758;20.0;;;;400;
20418;2019-07-18 00:00:00;5232.0;5232.0;705;20.0;;;;400;
20419;2019-07-18 00:00:00;19350.0;19350.0;1042;0.0;;;;400;
20591;2025-05-05 00:00:00;-97960.0;-97960.0;2226;20.0;;;;700;
20775;2025-07-30 00:00:00;82087.5;82087.5;2606;25.0;;;;400;
20807;2019-07-15 00:00:00;8368.0;8368.0;359;20.0;;;;500;
20810;2019-07-15 00:00:00;5392.5;5392.5;1078;25.0;;;;500;
20811;2019-07-15 00:00:00;5232.0;5232.0;259;20.0;;;;500;
20812;2019-07-15 00:00:00;10156.0;10156.0;831;20.0;;;;500;
20813;2019-07-15 00:00:00;2452.5;2452.5;1208;25.0;;;;500;
20814;2019-07-15 00:00:00;2616.0;2616.0;968;20.0;;;;500;
20817;2019-07-22 00:00:00;0.0;0.0;101;20.0;;;;500;
20818;2019-07-22 00:00:00;1870.0;1870.0;1157;20.0;;;;500;
20819;2019-07-22 00:00:00;520.0;520.0;100;20.0;;;;500;
20821;2019-07-22 00:00:00;2940.0;2940.0;1208;25.0;;;;500;
20892;2024-12-17 00:00:00;784140.0;784140.0;412;30.0;;;;100;
21187;2019-06-06 00:00:00;22890.0;22890.0;2312;30.0;;;;600;
21842;2020-07-24 00:00:00;6000.0;6000.0;2258;20.0;;;;200;
22326;2021-02-17 00:00:00;8424.0;8424.0;888;20.0;;;;300;
22327;2021-03-03 00:00:00;14048.0;14048.0;2433;20.0;;;;300;
22599;2021-11-17 00:00:00;19272.0;19272.0;246;20.0;;;;400;
22600;2021-11-17 00:00:00;10504.0;10504.0;716;20.0;;;;400;
22789;2021-06-17 00:00:00;14500.0;14500.0;2247;0.0;;;;200;
22952;2020-08-20 00:00:00;150050.0;150050.0;1042;0.0;;;;400;
22999;2021-11-17 00:00:00;29542.5;29542.5;2172;25.0;;;;400;
23729;2022-05-16 00:00:00;422480.0;422480.0;1042;0.0;;;;400;
23732;2022-05-16 00:00:00;116171.0;116171.0;935;0.0;;;;400;
23734;2022-05-16 00:00:00;99360.0;99360.0;94;25.0;;;;400;
23736;2022-05-16 00:00:00;22788.75;22788.75;2237;25.0;;;;400;
23737;2022-05-16 00:00:00;91548.0;91548.0;1042;0.0;;;;400;
23941;2021-12-06 00:00:00;41398.0;41398.0;212;30.0;;;;200;
24025;2022-11-07 00:00:00;24220.0;24220.0;2219;0.0;;;;500;
24269;2022-01-05 00:00:00;81026.25;81026.25;742;25.0;;;;700;
25007;2022-06-15 00:00:00;18260.0;18260.0;2553;0.0;;;;700;
