NroFactura;TipoFactura;ItemFactura;IDCodProd;Cantidad;PrecioUnitario;PorcentajeDescuento;TotalLinea;UnidadMedida;ImporteDescuento
2153;A;1;65;2;1471.07;20;2353.71;C/U;588.43
2153;A;2;75;1;1760.33;20;1408.26;C/U;352.07
2154;A;1;75;4;1760.33;20;5633.06;C/U;1408.26
2154;A;2;65;3;1471.07;20;3530.57;C/U;882.64
2154;A;3;45FKA;2;1471.07;20;2353.71;C/U;588.43
2155;A;1;180;4;3000.8;0;12003.2;C/U;0.0
2156;A;1;110C;2;2772.72;30;3881.81;C/U;1663.63
2157;A;1;75;3;1760.33;25;3960.74;C/U;1320.25
2158;A;1;75;9;1760.33;35;10297.93;C/U;5545.04
2158;A;2;65;8;1471.07;35;7649.56;C/U;4119.0
2158;A;3;45FKA;1;1471.07;35;956.2;C/U;514.87
2159;A;1;180;2;3011.51;0;6023.02;C/U;0.0
2160;A;1;75;1;1760.33;20;1408.26;C/U;352.07
2161;A;1;45FKA;2;1284.8;0;2569.6;C/U;0.0
2161;A;2;65;3;1129.7;0;3389.1;C/U;0.0
2161;A;3;75;3;1283.7;0;3851.1;C/U;0.0
2162;A;1;45R12;1;1917.35;20;1533.88;C/U;383.47
2162;A;2;45FKA;1;1471.07;20;1176.86;C/U;294.21
2162;A;3;65;1;1471.07;20;1176.86;C/U;294.21
2162;A;4;75;1;1760.33;20;1408.26;C/U;352.07
2162;A;5;100SP;1;2772.72;20;2218.18;C/U;554.54
2162;A;6;110C;1;2772.72;20;2218.18;C/U;554.54
2163;A;1;110C;2;2772.72;25;4159.08;C/U;1386.36
2164;A;1;180;1;4099.17;0;4099.17;C/U;0.0
2164;A;2;75;1;1760.33;0;1760.33;C/U;0.0
2165;A;1;75;32;1195.04;0;38241.28;C/U;0.0
2165;A;2;65;43;998.34;0;42928.62;C/U;0.0
2165;A;3;100;10;1876.86;0;18768.6;C/U;0.0
2165;A;4;180;7;2782.64;0;19478.48;C/U;0.0
2165;A;5;45FKA;3;1040.62;0;3121.86;C/U;0.0
2166;A;1;RES;60761;17.5;0;1063317.5;;0.0
2167;A;1;180;10;3023.49;0;30234.9;C/U;0.0
2168;A;1;180;2;3011.51;0;6023.02;C/U;0.0
2169;A;1;75;2;1760.33;20;2816.53;C/U;704.13
2170;A;1;75;2;1760.33;20;2816.53;C/U;704.13
2171;A;1;65;2;1471.07;20;2353.71;C/U;588.43
2172;A;1;75;6;1760.33;30;7393.39;C/U;3168.59
2172;A;2;110C;12;2772.72;30;23290.85;C/U;9981.79
2172;A;3;180;4;4099.17;30;11477.68;C/U;4919.0
2172;A;4;45FKA;1;1471.07;30;1029.75;C/U;441.32
2172;A;5;90;1;2723.14;30;1906.2;C/U;816.94
2173;A;1;75;7;1760.33;35;8009.5;C/U;4312.81
2173;A;2;65;5;1471.07;35;4780.98;C/U;2574.37
2174;A;1;100SP;2;2772.72;25;4159.08;C/U;1386.36
2175;A;1;75;4;1760.33;25;5280.99;C/U;1760.33
2175;A;2;65;1;1471.07;25;1103.3;C/U;367.77
2175;A;3;110C;1;2772.72;25;2079.54;C/U;693.18
2175;A;4;180;1;4099.17;25;3074.38;C/U;1024.79
2176;A;1;45FKA;1;1619.86;0;1619.86;C/U;0.0
2177;A;1;180;4;3325.83;0;13303.32;C/U;0.0
2178;A;1;75;1;1760.33;20;1408.26;C/U;352.07
2179;A;1;75;1;1760.33;20;1408.26;C/U;352.07
2180;A;1;90;1;2723.14;20;2178.51;C/U;544.63
2181;A;1;65;1;1344.0;0;1344.0;C/U;0.0
2181;A;2;75;2;1588.0;0;3176.0;C/U;0.0
2182;A;1;75;1;1760.33;25;1320.25;C/U;440.08
2182;A;2;45FKA;1;1471.07;25;1103.3;C/U;367.77
2183;A;1;Q750;1;2016.52;0;2016.52;C/U;0.0
2184;A;1;45FIT;1;2082.64;20;1666.11;C/U;416.53
2185;A;1;65;3;1471.07;20;3530.57;C/U;882.64
2185;A;2;75;2;1760.33;20;2816.53;C/U;704.13
2185;A;3;80T;1;2045.45;20;1636.36;C/U;409.09
2186;A;1;180;2;4099.17;20;6558.67;C/U;1639.67
2187;A;1;180;4;4099.17;20;13117.34;C/U;3279.34
2188;A;1;75;15;1760.33;25;19803.71;C/U;6601.24
2189;A;1;180;4;3000.8;0;12003.2;C/U;0.0
2190;A;1;75;3;1760.33;25;3960.74;C/U;1320.25
2190;A;2;65;3;1471.07;25;3309.91;C/U;1103.3
2190;A;3;45FKA;1;1471.07;25;1103.3;C/U;367.77
2190;A;4;110C;1;2772.72;25;2079.54;C/U;693.18
2191;A;1;75;1;1760.33;20;1408.26;C/U;352.07
2192;A;1;65;1;1619.83;20;1295.86;C/U;323.97
2193;A;1;180;2;4099.17;20;6558.67;C/U;1639.67
2193;A;2;65;1;1471.07;20;1176.86;C/U;294.21
2194;A;1;80T;1;2045.45;20;1636.36;C/U;409.09
2195;A;1;75;9;1760.33;35;10297.93;C/U;5545.04
2195;A;2;65;8;1471.07;35;7649.56;C/U;4119.0
2195;A;3;45FKA;1;1471.07;35;956.2;C/U;514.87
2196;A;1;180;3;3011.51;0;9034.53;C/U;0.0
2197;A;1;180;10;3011.51;0;30115.1;C/U;0.0
2198;A;1;PLOMO;10229;37.0;0;378473.0;KG;0.0
2199;A;1;PLOMO;10180;41.81;0;425625.8;KG;0.0
2200;A;1;PLOMO;8717;41.81;0;364457.77;KG;0.0
